category,priority,year,month,latitude,longitude,district
DOMESTIC DISTURBANCE,2,2018,10,30.01630914,-90.00021564,7
COMPLAINT OTHER,1,2018,10,29.98039035,-90.1122454,3
SIMPLE BURGLARY,1,2018,10,29.95792514,-90.09274523,1
AUTO THEFT,1,2018,10,30.03815729,-90.00164118,7
HIT & RUN,1,2018,10,30.0164746,-90.02023541,7
COMPLAINT OTHER,1,2018,10,30.01973552,-89.96501524,7
COMPLAINT OTHER,1,2018,10,29.97062974,-90.03445086,5
SIMPLE BURGLARY VEHICLE,1,2018,10,30.05446508,-89.95466461,7
DISTURBANCE (OTHER),1,2018,10,30.03820564,-89.90725148,7
HIT & RUN,1,2018,10,30.01798419,-89.99983098,7
ABANDONED VEHICLE,1,2018,10,30.02518826,-89.99545024,7
COMPLAINT OTHER,1,2018,10,29.96818035,-90.07743703,1
RESIDENCE BURGLARY,1,2018,10,30.04973218,-89.95670651,7
MUNICIPAL ATTACHMENT,1,2018,10,29.97068135,-90.08280482,1
EXTORTION (THREATS),1,2018,10,30.01925882,-90.02172309,7
COMPLAINT OTHER,1,2018,10,30.02906024,-89.997771,7
HIT & RUN,1,2018,10,29.99929291,-90.04994477,3
DISTURBANCE (OTHER),1,2018,10,29.94898707,-90.07969311,8
COMPLAINT OTHER,1,2018,10,30.0361797,-90.00987143,7
SUSPICIOUS PERSON,1,2018,10,30.04397663,-89.99281241,7
SUSPICIOUS PERSON,1,2018,10,30.04219173,-89.97551395,7
HIT & RUN WITH INJURIES,2,2018,10,30.01421241,-89.98788543,7
SIMPLE BATTERY,1,2018,10,29.97164358,-90.08427327,1
SIMPLE BURGLARY VEHICLE,1,2018,10,29.97998315,-90.05063252,5
MISSING ADULT,1,2018,10,30.06379718,-89.94849309,7
SIMPLE BATTERY,1,2018,10,29.9536437,-90.07036105,8
THEFT,0,2018,10,30.02917737,-89.97074404,7
AUTO THEFT,0,2018,10,29.9490698,-90.07454469,8
ABANDONED VEHICLE,1,2018,10,29.96932619,-90.06839956,1
HIT & RUN,1,2018,10,30.02095146,-90.07509375,3
DOMESTIC DISTURBANCE,2,2018,10,29.97929246,-90.06655858,5
"BURGLAR ALARM, SILENT",1,2018,10,30.02062421,-89.9940359,7
SIMPLE ROBBERY,1,2018,10,30.01224823,-90.00198991,7
HIT & RUN,1,2018,10,30.04138669,-89.91137307,7
COMPLAINT OTHER,1,2018,10,29.95843072,-90.06309189,8
COMPLAINT OTHER,1,2018,10,30.00508374,-90.03356544,3
COMPLAINT OTHER,1,2018,10,29.96883127,-90.115971,2
ABANDONED VEHICLE,1,2018,10,29.97243026,-90.06580508,1
DISTURBANCE (OTHER),1,2018,10,30.03172488,-89.9273268,7
DISTURBANCE (OTHER),1,2018,10,29.99109843,-90.03335197,5
RESIDENCE BURGLARY,1,2018,10,29.94259205,-90.11494996,2
BUSINESS BURGLARY,1,2018,10,29.96990056,-90.06884906,1
COMPLAINT OTHER,1,2018,10,29.94947646,-90.09869208,6
AUTO ACCIDENT WITH INJURY,1,2018,10,29.95851412,-90.07843067,1
RETURN FOR ADDITIONAL INFO,1,2018,10,29.92891907,-90.07257517,6
AUTO ACCIDENT WITH INJURY,1,2018,10,30.00510661,-90.02524262,3
DISTURBANCE (OTHER),1,2018,10,29.96601672,-90.08749536,1
SIMPLE BATTERY,2,2018,10,29.9542588,-90.06870264,8
MUNICIPAL ATTACHMENT,1,2018,10,29.96990056,-90.06884906,1
SIMPLE BURGLARY VEHICLE,1,2018,10,29.96501203,-90.08599212,1
SIMPLE CRIMINAL DAMAGE,1,2018,10,29.96501203,-90.08599212,1
HIT & RUN,1,2018,10,30.0027899,-90.03554298,3
COMPLAINT OTHER,1,2018,10,30.00508374,-90.03356544,3
CRIMINAL MISCHIEF,1,2018,10,29.98115065,-90.0523081,5
SUSPICIOUS PERSON,1,2018,10,30.02139219,-90.05733585,3
SIMPLE BATTERY,1,2018,10,29.9671501,-90.09731424,1
AUTO ACCIDENT WITH INJURY,2,2018,10,29.96639304,-90.07174709,1
SUSPICIOUS PERSON,1,2018,10,30.0515826,-89.96914887,7
THEFT BY FRAUD,1,2018,10,29.96005104,-90.06003798,8
COMPLAINT OTHER,1,2018,10,30.00510661,-90.02524262,3
MENTAL PATIENT,2,2018,10,0,0,5
NOISE COMPLAINT,1,2018,10,29.97576317,-90.08395363,1
EXTORTION (THREATS),1,2018,10,29.94627262,-90.08304058,6
HIT & RUN CITY VEHICLE,1,2018,10,29.96632092,-90.07107364,1
DOMESTIC DISTURBANCE,1,2018,10,29.96340436,-90.09469548,1
HIT & RUN,1,2018,10,29.93914302,-90.06430366,8
COMPLAINT OTHER,1,2018,10,29.95740531,-90.06386353,8
SIMPLE BATTERY DOMESTIC,2,2018,10,29.94498792,-90.09656148,6
AREA CHECK,1,2018,10,30.01223303,-90.1162476,3
DOMESTIC DISTURBANCE,1,2018,10,29.96382329,-90.09285824,1
DIRECTED PATROL,1,2018,10,29.92180598,-90.02241945,4
AREA CHECK,1,2018,10,30.01384161,-90.10468918,3
AREA CHECK,1,2018,10,30.01918548,-90.10304834,3
BUSINESS CHECK,1,2018,10,29.96527513,-90.09759424,1
EXTORTION (THREATS),1,2018,10,30.03589337,-89.99011948,7
MEDICAL,1,2018,10,0,0,7
AREA CHECK,1,2018,10,29.94859055,-90.04708839,4
BUSINESS CHECK,1,2018,10,29.94610468,-90.11346969,2
TRAFFIC INCIDENT,1,2018,10,29.96253203,-90.07113441,1
AREA CHECK,1,2018,10,29.98196195,-90.09815516,3
TRAFFIC INCIDENT,1,2018,10,29.99717809,-90.06151112,3
AREA CHECK,1,2018,10,30.01527303,-90.10023421,3
COMPLAINT OTHER,1,2018,10,30.0157186,-89.98643319,7
AREA CHECK,1,2018,10,30.01525262,-90.09923077,3
AREA CHECK,1,2018,10,29.9186637,-90.02259125,4
AREA CHECK,1,2018,10,29.91731371,-89.99822074,4
TRAFFIC INCIDENT,1,2018,10,29.97925531,-90.10350557,3
TRAFFIC INCIDENT,1,2018,10,29.95324245,-90.0479037,4
AREA CHECK,1,2018,10,30.01573832,-90.10548757,3
BUSINESS CHECK,1,2018,10,29.956635,-90.10453148,2
TRAFFIC INCIDENT,1,2018,10,29.9243038,-90.02170527,4
BUSINESS CHECK,1,2018,10,29.94453025,-90.13281952,2
TRAFFIC INCIDENT,1,2018,10,29.95961967,-90.11668053,2
RESIDENCE CHECK,1,2018,10,29.97968497,-90.09255484,1
"BURGLAR ALARM, SILENT",2,2018,10,30.02341661,-90.07404629,3
AREA CHECK,1,2018,10,29.91372842,-89.99683206,4
BUSINESS CHECK,1,2018,10,29.95900837,-90.06401262,8
SIMPLE BURGLARY VEHICLE,1,2018,10,29.92971488,-90.10215075,6
TRAFFIC INCIDENT,1,2018,10,29.95431086,-90.07096902,8
COMPLAINT OTHER,1,2018,10,29.95387931,-90.06989927,8
TRAFFIC INCIDENT,1,2018,10,29.92565985,-90.02225223,4
TRAFFIC INCIDENT,1,2018,10,29.9392877,-90.08686805,6
AREA CHECK,1,2018,10,30.01416801,-90.11821838,3
AREA CHECK,1,2018,10,30.01546758,-90.10246833,3
DISTURBANCE (OTHER),1,2018,10,30.04160773,-89.99438416,7
BUSINESS CHECK,1,2018,10,29.96352053,-90.08956026,1
BUSINESS CHECK,1,2018,10,29.96443955,-90.05032508,5
AREA CHECK,1,2018,10,29.9099425,-90.01990319,4
AREA CHECK,1,2018,10,29.9082978,-89.99708148,4
COMPLAINT OTHER,1,2018,10,29.95688281,-90.06738444,8
WALKING BEAT,1,2018,10,29.92622135,-90.08249323,6
TRAFFIC INCIDENT,1,2018,10,29.9722398,-90.06303063,5
BUSINESS CHECK,1,2018,10,29.9596413,-90.06490038,8
AREA CHECK,1,2018,10,29.96293019,-90.06616854,8
SIMPLE BATTERY,1,2018,10,29.95470912,-90.06915346,8
BUSINESS CHECK,1,2018,10,29.9530278,-90.07078416,8
AREA CHECK,1,2018,10,30.01336418,-90.09934069,3
SIMPLE BATTERY DOMESTIC,1,2018,10,30.03945838,-89.99465577,7
COMPLAINT OTHER,1,2018,10,29.9374668,-90.08216771,6
AREA CHECK,1,2018,10,29.94893954,-90.06815839,8
DRUG VIOLATIONS,1,2018,10,29.99717809,-90.06151112,3
RETURN FOR ADDITIONAL INFO,1,2018,10,29.92878231,-90.01937268,4
WALKING BEAT,1,2018,10,29.94209109,-90.09450806,6
DIRECTED PATROL,1,2018,10,29.96559204,-90.03541993,5
AREA CHECK,1,2018,10,29.97953834,-90.09881606,3
AREA CHECK,1,2018,10,29.97641138,-90.10750005,3
AREA CHECK,1,2018,10,30.01829259,-90.10416553,3
TRAFFIC INCIDENT,1,2018,10,29.93829699,-90.08420444,6
WALKING BEAT,1,2018,10,29.92061806,-90.02245838,4
WARR STOP WITH RELEASE,0,2018,10,29.99717809,-90.06151112,3
WARR STOP WITH RELEASE,0,2018,10,29.99717809,-90.06151112,3
AREA CHECK,1,2018,10,29.96566445,-90.11022088,2
SUSPICIOUS PERSON,1,2018,10,29.95387431,-90.06961942,8
TRAFFIC INCIDENT,1,2018,10,29.96059111,-90.08782093,1
COMPLAINT OTHER,1,2018,10,29.9560189,-90.12812867,2
THEFT,1,2018,10,29.9616812,-90.06594048,8
AREA CHECK,1,2018,10,30.01617794,-90.03496556,3
DIRECTED PATROL,1,2018,10,29.96992996,-90.06523061,1
MUNICIPAL ATTACHMENT,1,2018,10,29.95387931,-90.06989927,8
DOMESTIC DISTURBANCE,1,2018,10,29.97027804,-90.07798775,1
AREA CHECK,1,2018,10,29.93563577,-90.08190819,6
TRAFFIC INCIDENT,1,2018,10,29.97863514,-90.10258675,3
WARR STOP WITH RELEASE,0,2018,10,29.9243038,-90.02170527,4
WARR STOP WITH RELEASE,0,2018,10,29.9243038,-90.02170527,4
AREA CHECK,1,2018,10,30.01014219,-90.10410042,3
AREA CHECK,1,2018,10,30.01611941,-90.12064555,3
COMPLAINT OTHER,1,2018,10,29.94305762,-90.07121949,8
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,30.04825109,-89.95958404,7
AREA CHECK,1,2018,10,29.93842274,-90.0253066,4
AREA CHECK,1,2018,10,29.95501441,-90.08259323,1
BUSINESS CHECK,1,2018,10,29.97013426,-90.09468972,1
SUSPICIOUS PERSON,1,2018,10,29.98285988,-90.0725814,1
SUSPICIOUS PERSON,2,2018,10,30.02851015,-89.9921898,7
AREA CHECK,1,2018,10,29.94473639,-90.02110737,4
BUSINESS CHECK,1,2018,10,29.9833967,-90.10587855,3
BUSINESS CHECK,1,2018,10,29.9457222,-90.09023454,6
SIMPLE BATTERY DOMESTIC,1,2018,10,29.95750244,-90.07523888,1
SIMPLE BATTERY,1,2018,10,29.95386395,-90.0686167,8
SIMPLE BATTERY,1,2018,10,29.95668866,-90.06755285,8
AREA CHECK,1,2018,10,30.00804712,-90.10108505,3
AREA CHECK,1,2018,10,29.92910061,-90.0116741,4
FUGITIVE ATTACHMENT,1,2018,10,29.95387931,-90.06989927,8
RETURN FOR ADDITIONAL INFO,1,2018,10,29.97062974,-90.03445086,5
DISTURBANCE (OTHER),2,2018,10,29.9570031,-90.06724664,8
SUSPICIOUS PERSON,2,2018,10,29.93981508,-90.1283054,2
COMPLAINT OTHER,1,2018,10,29.96352053,-90.08956026,1
FUGITIVE ATTACHMENT,1,2018,10,29.95387931,-90.06989927,8
COMPLAINT OTHER,1,2018,10,29.95387931,-90.06989927,8
"BURGLAR ALARM, SILENT",2,2018,10,29.94489359,-90.07689273,6
WARR STOP WITH RELEASE,0,2018,10,29.95431086,-90.07096902,8
WARR STOP WITH RELEASE,0,2018,10,29.95431086,-90.07096902,8
FUGITIVE ATTACHMENT,1,2018,10,29.95431086,-90.07096902,8
DISTURBANCE (OTHER),1,2018,10,29.96840718,-90.10632869,1
WARR STOP WITH RELEASE,0,2018,10,29.95387931,-90.06989927,8
COMPLAINT OTHER,1,2018,10,29.95542795,-90.06687159,8
AREA CHECK,1,2018,10,29.96366076,-90.06722677,1
BUSINESS CHECK,1,2018,10,29.97936493,-90.10701633,3
BUSINESS CHECK,1,2018,10,29.97333927,-90.05665848,5
NOISE COMPLAINT,1,2018,10,29.96448191,-90.08211965,1
AREA CHECK,1,2018,10,29.92581669,-90.01971498,4
AREA CHECK,1,2018,10,30.01754024,-90.10526089,3
COMPLAINT OTHER,1,2018,10,29.96123017,-90.06187663,8
AREA CHECK,1,2018,10,30.01909293,-90.10202802,3
BUSINESS CHECK,1,2018,10,29.94301248,-90.09455382,6
COMPLAINT OTHER,1,2018,10,30.00397904,-90.04955998,3
AREA CHECK,1,2018,10,29.97116251,-90.10777284,3
BUSINESS CHECK,1,2018,10,29.96739559,-90.10203042,1
DOMESTIC DISTURBANCE,2,2018,10,29.95461364,-90.07242875,8
AREA CHECK,1,2018,10,30.00644074,-90.03277759,3
AREA CHECK,1,2018,10,30.00577313,-90.118836,3
SIMPLE BURGLARY VEHICLE,1,2018,10,30.03815729,-90.00164118,7
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,29.93926532,-90.09597022,6
DRIVING WHILE UNDER INFLUENCE,1,2018,10,29.95444024,-90.12224266,2
DISTURBANCE (OTHER),1,2018,10,29.96514404,-90.09932984,1
"BURGLAR ALARM, SILENT",2,2018,10,29.97258164,-90.05146257,5
AUTO ACCIDENT,2,2018,10,29.97160658,-90.04039117,5
COMPLAINT OTHER,1,2018,10,29.96183005,-90.0919404,1
COMPLAINT OTHER,1,2018,10,29.94233174,-90.10708411,2
AREA CHECK,1,2018,10,29.96763366,-90.1040532,1
AREA CHECK,1,2018,10,30.00976874,-90.09974902,3
DRIVING WHILE UNDER INFLUENCE,1,2018,10,29.9722398,-90.06303063,5
TRAFFIC INCIDENT,1,2018,10,29.93620634,-90.07752567,6
COMPLAINT OTHER,1,2018,10,30.03274138,-89.97277062,7
TRAFFIC INCIDENT,1,2018,10,29.94856858,-90.09946383,6
BUSINESS CHECK,1,2018,10,29.97689781,-90.09924571,3
